geography,CCAA,wave,period,age_group_scheme,ego_age_group,alter_age_group,ego_population_size,ego_sample_size_LFS,ego_sample_size_DCS,reciprocity,cores_LFS,cores_DCS,noncores_DCS,all_LFS_DCS,all_DCS_DCS
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,none,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,unweighted,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,0-9,4301423.79,12623,0,weighted,0.6116327961258614,0.30404908300067796,0.10775717842523895,0.7193899745511003,0.4118062614259169
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,none,0.3173297021263743,0.4107436203878901,0.05543205660336074,0.37276175872973505,0.46617567699125084
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,unweighted,0.31501611237427035,0.3832339927078024,0.0980748543187353,0.41309096669300566,0.4813088470265377
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,10-19,4301423.79,12623,0,weighted,0.31474908488150827,0.35572436502771476,0.14071765203410985,0.4554667369156181,0.4964420170618246
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,none,0.14478083313897327,0.5436288130616079,0.2744346753538382,0.4192155084928115,0.8180634884154461
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,unweighted,0.16595911838763508,0.3092253473594963,0.18942831010641872,0.3553874284940538,0.49865365746591506
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,20-29,4301423.79,12623,0,weighted,0.16640584142661421,0.07482188165738465,0.10442194485899926,0.2708277862856135,0.17924382651638393
spain,NA,1,"[2020-05-14, 2020-06-10]",10y10y,0-9,30-39,4301423.79,12623,0,none,0.8479861315873737,0.37364987607458044,0.4913622446309846,1.3393483762183582,0.865012120705565
